"住所CD","都道府県CD","市区町村CD","町域CD","郵便番号","事業所フラグ","廃止フラグ","都道府県","都道府県カナ","市区町村","市区町村カナ","町域","町域カナ","町域補足","京都通り名","字丁目","字丁目カナ","補足","事業所名","事業所名カナ","事業所住所","新住所CD"
331000000,11,11101,111010000,"331-0000",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク",,"　","（該当なし）",,,,,,,,
331005800,11,11101,111010001,"331-0058",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","飯田","イイダ",,,,,,,,,
331006800,11,11101,111010002,"331-0068",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","飯田新田","イイダシンデン",,,,,,,,,
331005300,11,11101,111010003,"331-0053",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","植田谷本","ウエタヤホン",,,,,,,,,
331006700,11,11101,111010004,"331-0067",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","植田谷本村新田","ウエタヤホンムラシンデン",,,,,,,,,
331004500,11,11101,111010005,"331-0045",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","内野本郷","ウチノホンゴウ",,,,,,,,,
331004700,11,11101,111010006,"331-0047",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","指扇","サシオウギ",,,,,,,,,
331858700,11,11101,111010006,"331-8587",1,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","指扇","サシオウギ",,,,,,"西区役所","ニシクヤクシヨ","指扇３７４３",
331007600,11,11101,111010007,"331-0076",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","指扇領辻","サシオウギリョウツジ",,,,,,,,,
331007300,11,11101,111010008,"331-0073",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","指扇領別所","サシオウギリョウベッショ",,,,,,,,,
331006400,11,11101,111010009,"331-0064",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","佐知川","サジカワ",,,,,,,,,
331005600,11,11101,111010010,"331-0056",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","三条町","サンジョウマチ",,,,,,,,,
331005400,11,11101,111010011,"331-0054",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","島根","シマネ",,,,,,,,,
331005500,11,11101,111010012,"331-0055",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","昭和","ショウワ",,,,,,,,,
331004800,11,11101,111010013,"331-0048",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","清河寺","セイガンジ",,,,,,,,,
331007100,11,11101,111010014,"331-0071",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","高木","タカギ",,,,,,,,,
331858500,11,11101,111010014,"331-8585",1,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","高木","タカギ",,,,,,"大宮アルディージャ　クラブハウス","オオミヤアルデイ－ジヤ　クラブハウス","高木８４９",
331006600,11,11101,111010015,"331-0066",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","塚本","ツカモト",,,,,,,,,
331006000,11,11101,111010016,"331-0060",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","塚本町","ツカモトチョウ",,,,,,,,,
331006200,11,11101,111010017,"331-0062",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","土屋","ツチヤ",,,,,,,,,
331007700,11,11101,111010018,"331-0077",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","中釘","ナカクギ",,,,,,,,,
331858000,11,11101,111010018,"331-8580",1,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","中釘","ナカクギ",,,,,,"埼玉県自動車税事務所","サイタマケンジドウシヤゼイジムシヨ","中釘２１５２",
331005700,11,11101,111010019,"331-0057",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","中野林","ナカノバヤシ",,,,,,,,,
331006100,11,11101,111010020,"331-0061",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","西遊馬","ニシアスマ",,,,,,,,,
331853300,11,11101,111010020,"331-8533",1,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","西遊馬","ニシアスマ",,,,,,"安田　株式会社　埼玉支店","ヤスダ　カブシキガイシヤ　サイタマシテン","西遊馬３４５－１",
331004900,11,11101,111010021,"331-0049",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","西新井","ニシアライ",,,,,,,,,
331007800,11,11101,111010031,"331-0078",0,0,"埼玉県","サイタマケン","さいたま市西区","サイタマシニシク","西大宮","ニシオオミヤ",,,,,,,,,
